1,85,5,27,0
2,90,8,34,0
3,70,6,30,0
4,60,5,24,0
5,60,3.5,26,0
6,80,4,39,0
7,70,4,40,0
8,80,6,34,0
9,60,7,24,0
10,50,3.5,64,1
11,70,3.5,60,1
12,70,3.5,62,1
13,80,6,48,1
14,120,6,25,0
15,120,6,22,0
16,100,5,32,0
17,130,6,26,0
18,135,4,29,0
19,120,6,26,0
20,118,5,31,0
21,133,6,29,0
22,134,4,33,0
23,90,4,24,0
24,85,4,18,0
25,120,6,28,0
26,80,4,31,0
27,110,5.5,32,0
28,90,5.5,24,0
29,90,6,23,0
30,110,7,25,0
31,90,6,26,0
32,130,5.5,42,0
33,100,5.5,40,0
34,50,4,20,0
35,120,4,16,0
36,90,4,22,0
37,80,4,35,0
38,110,4,37,0
39,110,4,46,0
40,120,6,36,0
41,160,7,27,0
42,160,7,35,0
43,140,5,29,0
44,143,6,31,0
45,116,5,28,0
46,90,4.5,29,0
47,120,5.5,23,0
48,100,5.5,25,0
49,96,5,23,0
50,98,6,28,0
51,110,7,27,0
52,85,6,53,0
53,90,7,34,0
54,75,5,34,0
55,65,6,26,0
56,66,3.5,27,0
57,76,5,35,0
58,78,5,40,0
59,90,4.5,34,0
60,75,6,27,0
61,64,4,62,1
62,77,5,59,1
63,67,4,66,1
64,120,5.5,26,0
65,114,5,31,0
66,125,6,27,0
67,115,4,33,1
68,93,4,24,0
69,88,4,20,0
70,113,6,28,0
71,60,4,31,1
72,112,5.5,33,0
73,69,5.5,24,0
74,88,6,23,0
75,100,7,26,0
76,88,6,26,0
77,124,5.5,42,0
78,117,5.5,40,0
79,60,4,20,0
80,114,5,16,0
81,89,4,23,0
82,84,4,35,0
83,100,6,35,0
84,108,5.5,43,0
85,113,6,36,0
86,114,6.5,24,0
87,148,7,37,1
88,138,5,29,0
89,137,6,31,0
90,113,5,38,0
91,61,4,62,1
92,68,5,55,1
93,73,4,45,1
94,78,4.5,55,0
95,89,5.6,36,0
96,67,7,40,0
97,64,4.5,30,0
98,63,3.5,28,0
99,80,4,37,0
100,73,4,42,0
101,80,6,37,0
102,60,6,34,0
103,65,3.5,67,1
104,70,4,60,1
105,73,5,62,1
106,80,6,50,1
107,120,6,25,0
108,114,6,22,0
109,106,5,32,0
110,106,6,30,0
111,120,4,29,0
112,78,4.5,29,0
113,114,5.5,23,0
114,95,5.5,25,0
115,98,5,21,1
116,92,6,28,0
117,106,7,26,0
118,85,6,53,0
119,89,7,34,0
120,70,5,36,0
121,63,6,26,0
122,63,3.5,27,0
123,69,5,37,0
124,83,5,40,0
125,89,4.5,30,0
126,75,6,27,0
127,75,5,50,1
128,67,4.5,45,0
129,80,6,36,0
130,67,4,40,0
131,64,5,30,0
132,48,4,30,0
133,84,5,35,0
134,72,4,36,0
135,76,6,38,0
136,55,6,34,0
137,67,3.5,40,1
138,74,4,57,1
139,75,5,58,1
140,78,6,55,1
141,115,6,27,0
142,123,6,24,0
143,110,5,34,0
144,113,6,33,0
145,120,4,27,0
146,80,5,35,0
147,100,6,23,0
148,113,4,26,0
149,95,5,27,1
150,90,7,28,0
151,100,8,25,0
152,86,6,45,0
153,93,4,34,0
154,75,5,27,0
155,63,6,26,0
156,66,5,32,0
157,67,6,37,0
158,79,5.5,37,0
159,78,5,35,0
160,80,7,29,0
